day,date,slot_1,slot_2,slot_3,slot_4,slot_5,slot_6,slot_7,slot_8,slot_9,slot_10,slot_11
1,2029-01-05,47,163,190,182,61,226,228,211,205,12,NaN
2,2029-01-06,100,47,163,190,182,61,226,228,211,205,12
3,2029-01-07,100,47,163,190,182,61,226,228,211,205,12
4,2029-01-08,100,47,163,190,182,61,226,228,211,205,12
5,2029-01-09,100,47,163,190,182,61,226,228,211,205,12
6,2029-01-10,100,47,163,190,182,61,226,228,211,205,12
7,2029-01-11,100,47,163,190,182,61,226,228,211,205,12
8,2029-01-12,100,47,163,190,182,61,226,228,211,205,12
9,2029-01-13,100,47,163,190,182,61,226,228,211,205,12
10,2029-01-14,100,47,163,190,182,61,226,228,211,205,12
11,2029-01-15,100,47,163,190,182,61,226,228,211,205,12
12,2029-01-16,100,47,163,190,182,61,226,228,211,205,12
13,2029-01-17,100,47,163,190,182,61,226,228,211,205,12
14,2029-01-18,100,47,163,190,182,61,226,228,211,205,12
15,2029-01-19,100,47,163,190,182,61,226,228,211,205,12
16,2029-01-20,100,47,163,190,182,61,226,228,211,205,12
17,2029-01-21,100,47,163,190,182,61,226,228,211,205,12
18,2029-01-22,100,47,163,190,182,61,226,228,211,205,12
19,2029-01-23,100,47,163,190,182,61,226,228,211,205,12
20,2029-01-24,100,47,163,190,182,61,226,228,211,205,12
21,2029-01-25,100,47,163,190,182,61,226,228,211,205,12
22,2029-01-26,100,47,163,190,182,61,226,228,211,205,12
23,2029-01-27,100,47,163,190,182,61,226,228,211,205,12
24,2029-01-28,100,47,163,190,182,61,226,228,211,205,12
25,2029-01-29,100,47,163,190,182,61,226,228,211,205,12
26,2029-01-30,100,47,163,190,182,61,226,228,211,205,12
27,2029-01-31,100,47,163,190,182,61,226,228,211,205,12
28,2029-02-01,100,47,163,190,182,61,226,228,211,205,12
29,2029-02-02,100,47,163,190,182,61,226,228,211,205,12
30,2029-02-03,100,47,163,190,182,61,226,228,211,205,12
31,2029-02-04,100,47,163,190,182,61,226,228,211,205,12
32,2029-02-05,100,47,163,190,182,61,226,228,211,205,12
33,2029-02-06,100,47,163,190,182,61,226,228,211,205,12
34,2029-02-07,100,47,163,190,182,61,226,228,211,205,12
35,2029-02-08,100,47,163,190,182,61,226,228,211,205,12
36,2029-02-09,100,47,163,190,182,61,226,228,211,205,12
37,2029-02-10,100,47,163,190,182,61,226,228,211,205,12
38,2029-02-11,100,47,163,190,182,61,226,228,211,205,12
39,2029-02-12,100,47,163,190,182,61,226,228,211,205,12
40,2029-02-13,100,47,163,190,182,61,226,228,211,205,12
41,2029-02-14,100,47,163,190,182,61,226,228,211,205,12
42,2029-02-15,100,47,163,190,182,61,226,228,211,205,12
43,2029-02-16,100,47,163,190,182,61,226,228,211,205,12
