Name, RA, Dec
AllSS_1, 2.974459e+02, 8.599501e+01  
AllSS_2, 9.221792e+01, 8.225064e+01  
AllSS_3, 1.754522e+02, 8.078038e+01  
AllSS_4, 1.796444e+01, 7.813996e+01  
AllSS_5, 2.323520e+02, 7.677404e+01  
AllSS_6, 2.829536e+02, 7.506198e+01  
AllSS_7, 3.312383e+02, 7.495022e+01  
AllSS_8, 1.273097e+02, 7.327409e+01  
AllSS_9, 5.954651e+01, 7.314472e+01  
AllSS_10, 1.633449e+02, 7.012009e+01  
AllSS_11, 1.984258e+02, 6.994431e+01  
AllSS_12, 9.277972e+01, 6.949432e+01  
AllSS_13, 2.523839e+02, 6.761394e+01  
AllSS_14, 4.985892e+00, 6.751130e+01  
AllSS_15, 3.093725e+02, 6.643082e+01  
AllSS_16, 3.543712e+01, 6.640120e+01  
AllSS_17, 2.245719e+02, 6.452233e+01  
AllSS_18, 2.815507e+02, 6.401338e+01  
AllSS_19, 3.386353e+02, 6.384050e+01  
AllSS_20, 6.708951e+01, 6.274069e+01  
AllSS_21, 1.363519e+02, 6.270261e+01  
AllSS_22, 1.119164e+02, 6.171435e+01  
AllSS_23, 1.816869e+02, 6.057796e+01  
AllSS_24, 1.588147e+02, 5.932487e+01  
AllSS_25, 2.031530e+02, 5.813094e+01  
AllSS_26, 8.939626e+01, 5.793503e+01  
AllSS_27, 2.610982e+02, 5.758194e+01  
AllSS_28, 1.785546e+01, 5.729535e+01  
AllSS_29, 3.213495e+02, 5.617976e+01  
AllSS_30, 2.404711e+02, 5.616324e+01  
AllSS_31, 3.579498e+02, 5.610199e+01  
AllSS_32, 3.006468e+02, 5.589228e+01  
AllSS_33, 3.796638e+01, 5.587641e+01  
AllSS_34, 5.609758e+01, 5.392489e+01  
AllSS_35, 2.820810e+02, 5.283740e+01  
AllSS_36, 2.201283e+02, 5.282802e+01  
AllSS_37, 1.231861e+02, 5.218587e+01  
AllSS_38, 3.404784e+02, 5.218570e+01  
AllSS_39, 1.409137e+02, 5.150969e+01  
AllSS_40, 7.408519e+01, 5.090094e+01  
AllSS_41, 1.050097e+02, 5.046999e+01  
AllSS_42, 1.737700e+02, 4.990921e+01  
AllSS_43, 1.904040e+02, 4.910809e+01  
AllSS_44, 1.572548e+02, 4.836717e+01  
AllSS_45, 2.667503e+02, 4.737911e+01  
AllSS_46, 1.107158e+01, 4.640749e+01  
AllSS_47, 2.736405e+01, 4.636348e+01  
AllSS_48, 2.509909e+02, 4.621669e+01  
AllSS_49, 3.106876e+02, 4.608750e+01  
AllSS_50, 8.943060e+01, 4.575612e+01  
AllSS_51, 2.327542e+02, 4.571943e+01  
AllSS_52, 2.057616e+02, 4.569355e+01  
AllSS_53, 3.268880e+02, 4.506488e+01  
AllSS_54, 4.415937e+01, 4.494983e+01  
AllSS_55, 2.946020e+02, 4.449656e+01  
AllSS_56, 3.558988e+02, 4.442397e+01  
AllSS_57, 6.074426e+01, 4.297388e+01  
AllSS_58, 1.174578e+02, 4.167097e+01  
AllSS_59, 1.328796e+02, 4.152561e+01  
AllSS_60, 2.796288e+02, 4.088197e+01  
AllSS_61, 3.421919e+02, 4.068972e+01  
AllSS_62, 2.187985e+02, 4.017165e+01  
AllSS_63, 1.479137e+02, 3.969951e+01  
AllSS_64, 7.571905e+01, 3.939263e+01  
AllSS_65, 1.790322e+02, 3.915716e+01  
AllSS_66, 1.024885e+02, 3.904563e+01  
AllSS_67, 1.643863e+02, 3.874891e+01  
AllSS_68, 1.932436e+02, 3.771609e+01  
AllSS_69, 2.423339e+02, 3.756579e+01  
AllSS_70, 2.642496e+02, 3.690602e+01  
AllSS_71, 1.906183e+01, 3.644787e+01  
AllSS_72, 3.429496e+01, 3.612092e+01  
AllSS_73, 3.181066e+02, 3.559729e+01  
AllSS_74, 3.039096e+02, 3.533714e+01  
AllSS_75, 4.742902e+00, 3.507424e+01  
AllSS_76, 4.968928e+01, 3.481036e+01  
AllSS_77, 8.874081e+01, 3.424760e+01  
AllSS_78, 3.322207e+02, 3.389884e+01  
AllSS_79, 2.064446e+02, 3.375575e+01  
AllSS_80, 2.898849e+02, 3.312612e+01  
AllSS_81, 2.296469e+02, 3.309210e+01  
AllSS_82, 3.509263e+02, 3.238503e+01  
AllSS_83, 6.424562e+01, 3.212159e+01  
AllSS_84, 2.529954e+02, 3.165620e+01  
AllSS_85, 1.270135e+02, 3.149748e+01  
AllSS_86, 1.135108e+02, 3.109108e+01  
AllSS_87, 1.406783e+02, 3.061888e+01  
AllSS_88, 2.757819e+02, 3.007789e+01  
AllSS_89, 1.552977e+02, 2.999455e+01  
AllSS_90, 1.696491e+02, 2.886299e+01  
AllSS_91, 1.827916e+02, 2.843670e+01  
AllSS_92, 1.001256e+02, 2.788277e+01  
AllSS_93, 2.180972e+02, 2.788195e+01  
AllSS_94, 7.685866e+01, 2.785786e+01  
AllSS_95, 2.666832e+01, 2.685606e+01  
AllSS_96, 1.954602e+02, 2.650870e+01  
AllSS_97, 4.076041e+01, 2.624067e+01  
AllSS_98, 2.407453e+02, 2.605842e+01  
AllSS_99, 1.386250e+01, 2.574548e+01  
AllSS_100, 3.118099e+02, 2.564519e+01  
AllSS_101, 2.635856e+02, 2.507278e+01  
AllSS_102, 3.250661e+02, 2.498973e+01  
AllSS_103, 3.390700e+02, 2.491465e+01  
AllSS_104, 2.985740e+02, 2.466130e+01  
AllSS_105, 5.449048e+01, 2.456320e+01  
AllSS_106, 1.838553e+00, 2.388163e+01  
AllSS_107, 8.816923e+01, 2.267590e+01  
AllSS_108, 2.854415e+02, 2.237444e+01  
AllSS_109, 2.074914e+02, 2.198493e+01  
AllSS_110, 3.505084e+02, 2.140020e+01  
AllSS_111, 2.293872e+02, 2.133172e+01  
AllSS_112, 1.222621e+02, 2.116728e+01  
AllSS_113, 1.346702e+02, 2.109328e+01  
AllSS_114, 1.477784e+02, 2.088903e+01  
AllSS_115, 6.681263e+01, 2.076417e+01  
AllSS_116, 1.100810e+02, 2.052727e+01  
AllSS_117, 2.514712e+02, 2.007651e+01  
AllSS_118, 1.609404e+02, 2.003684e+01  
AllSS_119, 1.737651e+02, 1.865986e+01  
AllSS_120, 2.735485e+02, 1.865490e+01  
AllSS_121, 1.857553e+02, 1.760654e+01  
AllSS_122, 3.293923e+01, 1.743378e+01  
AllSS_123, 9.789442e+01, 1.641207e+01  
AllSS_124, 2.064732e+01, 1.616684e+01  
AllSS_125, 2.190499e+02, 1.614540e+01  
AllSS_126, 4.628310e+01, 1.603229e+01  
AllSS_127, 7.855242e+01, 1.602152e+01  
AllSS_128, 3.188176e+02, 1.572542e+01  
AllSS_129, 3.061066e+02, 1.566266e+01  
AllSS_130, 1.974650e+02, 1.541459e+01  
AllSS_131, 3.315151e+02, 1.533016e+01  
AllSS_132, 2.401649e+02, 1.471608e+01  
AllSS_133, 8.688976e+00, 1.450410e+01  
AllSS_134, 2.935812e+02, 1.408210e+01  
AllSS_135, 2.613134e+02, 1.387266e+01  
AllSS_136, 5.712270e+01, 1.335448e+01  
AllSS_137, 3.432937e+02, 1.317716e+01  
AllSS_138, 3.567603e+02, 1.202196e+01  
AllSS_139, 1.411668e+02, 1.124908e+01  
AllSS_140, 1.292416e+02, 1.097608e+01  
AllSS_141, 1.533854e+02, 1.085595e+01  
AllSS_142, 2.823061e+02, 1.074920e+01  
AllSS_143, 2.092396e+02, 1.056820e+01  
AllSS_144, 1.179278e+02, 1.038994e+01  
AllSS_145, 8.873644e+01, 9.892287e+00  
AllSS_146, 1.068712e+02, 9.806020e+00  
AllSS_147, 1.655427e+02, 9.708795e+00  
AllSS_148, 2.300658e+02, 9.607215e+00  
AllSS_149, 6.906346e+01, 9.596974e+00  
AllSS_150, 2.497844e+02, 8.529002e+00  
AllSS_151, 1.772106e+02, 8.024236e+00  
AllSS_152, 3.950576e+01, 7.920541e+00  
AllSS_153, 2.708730e+02, 7.654630e+00  
AllSS_154, 1.884376e+02, 6.583222e+00  
AllSS_154, 2.839065e+01, 6.573514e+00  
AllSS_156, 3.127383e+02, 6.181732e+00  
AllSS_157, 3.242991e+02, 5.469441e+00  
AllSS_158, 3.006411e+02, 5.367593e+00  
AllSS_159, 1.762128e+01, 5.063034e+00  
AllSS_160, 1.996576e+02, 4.515969e+00  
AllSS_161, 2.204780e+02, 4.478001e+00  
AllSS_162, 3.354580e+02, 4.246192e+00  
AllSS_163, 7.925821e+01, 3.832712e+00  
AllSS_164, 7.076148e+00, 3.413192e+00  
AllSS_165, 9.843625e+01, 3.017372e+00  
AllSS_166, 5.940763e+01, 2.999640e+00  
AllSS_167, 3.465299e+02, 2.722340e+00  
AllSS_168, 2.396696e+02, 2.669482e+00  
AllSS_169, 2.591700e+02, 2.645150e+00  
AllSS_170, 4.871824e+01, 2.213164e+00  
AllSS_171, 2.899553e+02, 2.065310e+00  
AllSS_172, 1.462913e+02, 1.288237e+00  
AllSS_173, 1.343511e+02, 1.083154e+00  
AllSS_174, 3.568142e+02, 1.003688e+00  
