Field,RA,Dec,V180,V45,A_U_1,AU,LSST,ZTF,LS4,BlackGem,PS1,eRASS
1,54.18,-86.81,1,1,1,0.84,1,0,0,1,0,22897.05
2,247.89,-79.28,1,1,1,0.86,1,0,1,1,0,6615.3
3,321.46,-76.71,1,1,1,0.7,1,0,1,1,0,2491.043
4,181.26,-76.36,1,1,0,1.74,1,0,0,1,0,2249.759
5,124.72,-75.85,1,1,0,1.08,1,0,0,1,0,2438.414
6,57.43,-72.92,1,1,1,0.54,1,0,1,1,0,4369.615
7,13.35,-72.55,1,1,1,0.28,1,0,1,1,0,3472.117
8,282.05,-68.25,0,1,1,0.53,1,0,1,1,0,1788.109
9,92.19,-67.34,1,1,1,0.91,1,0,1,1,0,2424.899
10,212.52,-66.69,0,1,0,8.74,1,0,0,1,0,3166.674
11,246.08,-65.64,0,1,1,0.95,1,0,1,1,0,3077.901
12,150.17,-64.6,1,1,0,2.91,1,0,0,1,0,1340.166
13,346.19,-63.66,1,1,1,0.16,1,0,1,1,0,1391.782
14,314.85,-63.24,0,1,1,0.3,1,0,1,1,0,1288.186
15,180.55,-62.37,1,1,0,7.85,1,0,0,1,0,1134.677
16,120.39,-61.01,1,1,0,1.11,1,0,0,1,0,1242.907
17,42.47,-60.38,1,1,1,0.2,1,0,1,1,0,2535.264
18,16.14,-58.95,1,1,1,0.13,1,0,1,1,0,2056.27
19,69.14,-58.34,1,1,1,0.14,1,0,1,1,0,2381.598
20,267.71,-55.5,0,1,1,0.84,1,0,1,1,0,1839.72
21,291.12,-54.8,0,1,1,0.43,1,0,1,1,0,1092.021
22,95.26,-54.27,1,1,1,0.49,1,0,1,1,0,1436.322
23,224.66,-53.96,0,0,0,9.27,1,0,0,1,0,2094.801
24,201.98,-53.31,0,1,0,2.02,1,0,0,1,0,1988.045
25,245.89,-51.95,0,0,0,15.23,1,0,0,1,0,2065.927
26,160.17,-51.85,1,1,0,3.4,1,0,0,1,0,1014.328
27,333.63,-51.81,0,1,1,0.12,1,0,1,1,0,925.794
28,137.43,-51.31,1,1,0,6.35,1,0,0,1,0,921.4034
29,356.47,-50.67,0,1,1,0.08,1,0,1,1,0,1219.952
30,312.01,-49.81,0,1,1,0.26,1,0,1,1,0,912.0668
31,181.26,-48.75,0,1,1,0.88,1,0,1,1,0,1076.472
32,115.76,-47.5,1,1,0,1.7,1,0,0,1,0,899.62
33,36.62,-47.48,1,1,1,0.14,1,0,1,1,0,1869.943
34,56.79,-47.09,1,1,1,0.09,1,0,1,1,0,1862.202
35,17.12,-45.65,0,1,1,0.09,1,0,1,1,0,1521.178
36,77.6,-45.47,1,1,1,0.16,1,0,1,1,0,1599.827
37,274.37,-42.82,0,0,1,0.85,1,0,1,1,0,1203.462
38,216.73,-41.57,0,0,1,0.68,1,0,1,1,0,1682.187
39,97.25,-41.43,1,1,1,0.54,1,0,1,1,0,949.7971
40,292.69,-41.38,0,0,1,0.71,1,0,1,1,0,833.0485
41,255.94,-41.04,0,0,0,16.28,1,0,0,1,0,1509.787
42,235.79,-40.3,0,0,0,2.09,1,0,0,1,0,1650.567
43,148.3,-39.91,0,1,0,1.29,1,0,0,1,0,754.3322
44,198.56,-39.85,0,0,1,0.56,1,0,1,1,0,1409.278
45,343.33,-39.48,0,1,1,0.1,1,0,1,1,0,785.0074
46,325.99,-38.64,0,0,1,0.22,1,0,1,1,0,738.0128
47,166.43,-38.41,0,1,1,0.66,1,0,1,1,0,786.0949
48,130.49,-37.96,0,1,0,5.42,1,0,0,1,0,733.1908
49,0.83,-37.32,0,1,1,0.09,1,0,1,1,0,951.851
50,309.09,-36.74,0,0,1,0.42,1,0,1,1,0,715.5033
51,182.28,-35.26,0,0,1,0.55,1,0,1,1,0,1102.479
52,49.26,-34.78,1,1,1,0.11,1,0,1,1,0,1504.904
53,32.82,-34.47,0,1,1,0.12,1,0,1,1,0,1516.96
54,66.13,-34.38,1,1,1,0.14,1,0,1,1,0,1542.111
55,114.03,-33.98,1,1,0,3,1,0,0,1,0,745.5518
56,16.71,-32.46,0,1,1,0.12,1,0,1,1,0,1262.942
57,82.8,-32.37,1,1,1,0.19,1,0,1,1,0,1286.703
58,282.62,-30.12,0,0,0,1.1,1,0,0,1,0,762.4023
59,267.02,-29.61,0,0,0,17.34,1,1,0,1,1,1240.926
60,222.62,-29.01,0,0,1,0.8,1,1,1,1,1,1433.218
61,98.87,-28.6,1,1,1,0.6,1,1,1,1,1,747.0136
62,251.54,-28.5,0,0,0,2.85,1,1,0,1,1,1330.171
63,207.23,-28.33,0,0,1,0.44,1,1,1,1,1,1390.397
64,157.25,-27.91,0,0,1,0.46,1,1,1,1,1,647.7599
65,237.12,-27.09,0,0,0,1.24,1,1,0,1,1,1424.823
66,298.6,-27.08,0,0,1,0.76,1,1,1,1,1,672.6773
67,141.58,-26.82,0,1,1,0.73,1,1,1,1,1,643.074
68,347.64,-26.67,0,0,1,0.16,1,1,1,1,1,719.6915
69,332.02,-26.22,0,0,1,0.19,1,1,1,1,1,630.0058
70,191.95,-25.36,0,0,1,0.54,1,1,1,1,1,1156.36
71,316.73,-25.21,0,0,1,0.46,1,1,1,1,1,633.5136
72,127.05,-24.12,0,1,1,0.96,1,1,1,1,1,649.1861
73,174.65,-23.74,0,0,1,0.37,1,1,1,1,1,797.1779
74,1.84,-23.61,0,0,1,0.13,1,1,1,1,1,921.5428
75,57.84,-22.09,0,1,1,0.25,1,1,1,1,1,1388.294
76,43.34,-21.94,0,1,1,0.16,1,1,1,1,1,1344.336
77,29.1,-21.2,0,1,1,0.12,1,1,1,1,1,1313.566
78,72.31,-21.14,0,1,1,0.31,1,1,1,1,1,1276.924
79,113.32,-20.3,0,1,0,3.55,1,1,0,1,1,666.156
80,15.1,-19.33,0,0,1,0.13,1,1,1,1,1,1103.668
81,86.41,-18.89,0,1,1,0.6,1,1,1,1,1,1144.564
82,288.58,-17.51,0,0,0,1.11,1,1,0,1,1,667.0428
83,274.01,-17.31,0,0,0,15.99,1,1,0,1,1,942.024
84,216.31,-16.49,0,0,1,0.59,1,1,1,1,1,1315.398
85,259.66,-16.44,0,0,0,2.67,1,1,0,1,1,1144.996
86,162.94,-16.2,0,0,1,0.35,1,1,1,1,1,627.4294
87,306.53,-15.84,0,0,1,0.53,1,1,1,1,1,618.3737
88,100.19,-15.57,0,1,0,2.22,1,1,0,1,1,683.3563
89,245.31,-15.24,0,0,0,2.07,1,1,0,1,1,1311.477
90,201.45,-15.16,0,0,1,0.47,1,1,1,1,1,1205.95
91,339.97,-14.98,0,0,1,0.28,1,1,1,1,1,738.7915
92,230.29,-14.95,0,0,1,0.76,1,1,1,1,1,1281.32
93,148.78,-14.8,0,0,1,0.38,1,1,1,1,1,590.8735
94,323.67,-13.63,0,0,1,0.36,1,1,1,1,1,598.3652
95,185.47,-13.55,0,0,1,0.33,1,1,1,1,1,1013.307
96,135.26,-12.54,0,0,1,0.39,1,1,1,1,1,587.1405
97,353.76,-12.23,0,0,1,0.21,1,1,1,1,1,728.8205
98,50.48,-9.48,0,0,1,0.41,1,1,1,1,1,1259.143
99,122.09,-9.38,0,0,1,0.56,1,1,1,1,1,606.3379
100,64.57,-9.16,0,1,1,0.49,1,1,1,1,1,1282.118
101,36.3,-9.02,0,0,1,0.17,1,1,1,1,1,1271.935
102,7.1,-8.51,0,0,1,0.24,1,1,1,1,1,1010.188
103,172.99,-7.94,0,0,1,0.27,1,1,1,1,1,721.2115
104,22.16,-7.77,0,0,1,0.25,1,1,1,1,1,1212.265
105,78.55,-7.49,0,1,0,1.26,1,1,0,1,1,1120.728
106,296.33,-6.95,0,0,0,1.37,1,1,0,1,1,610.1514
107,108.86,-5.56,0,0,0,2.67,1,1,0,1,1,644.0899
108,281.41,-5.35,0,0,0,15.09,1,1,0,1,1,667.8834
109,92.59,-4.91,0,0,0,2.77,1,1,0,1,1,958.7566
110,313.37,-4.55,0,0,1,0.53,1,1,1,1,1,591.295
111,267.2,-4.51,0,0,0,3.91,1,1,0,1,1,1077.186
112,210.49,-4.35,0,0,1,0.28,1,1,1,1,1,1241.561
113,332.99,-4,0,0,1,0.42,1,1,1,1,1,578.0894
114,157.78,-3.53,0,0,1,0.3,1,1,1,1,1,559.7326
115,253.15,-3.5,0,0,0,1.74,1,1,0,1,1,1146.83
116,238.72,-3.33,0,0,0,1.02,1,1,0,1,1,1316.77
117,195.09,-3.28,0,0,1,0.2,1,1,1,1,1,1048.039
118,224.04,-2.82,0,0,1,0.49,1,1,1,1,1,1244.859
119,143.89,-1.19,0,0,1,0.28,1,1,1,1,1,568.2077
120,346.32,-0.76,0,0,1,0.37,1,1,1,1,1,624.8404
121,182.47,1.41,0,0,1,0.16,1,1,1,1,1,918.7825
122,130.43,1.67,0,0,1,0.25,1,1,1,1,1,566.1278
123,359.46,2.4,0,0,0,0.1,1,1,1,1,1,923.8352
124,42.9,2.89,0,0,1,0.62,1,1,1,1,1,1261.978
125,57.14,2.91,0,0,0,1.21,1,1,0,1,1,1257.531
126,28.55,3.75,0,0,1,0.28,1,1,1,1,1,1233.765
127,13.95,3.78,0,0,1,0.24,1,1,1,1,1,1023.652
128,71,3.86,0,0,1,0.83,1,1,1,1,1,1161.596
129,302.97,4.19,0,0,1,0.93,1,1,1,1,1,605.8317
130,323.26,4.29,0,0,1,0.45,1,1,1,1,1,609.1281
131,117.08,4.92,0,0,1,0.32,1,1,1,1,1,611.9675
132,168.07,5.17,0,0,1,0.25,1,1,1,1,1,641.6492
133,101.51,5.68,0,0,0,3.31,1,1,0,1,1,656.9675
134,85.41,5.79,0,0,0,2.27,1,1,0,1,1,1081.21
135,289.33,5.87,0,0,0,12.01,1,1,0,1,1,649.0698
136,204.03,7.12,0,0,1,0.18,1,1,1,1,1,1313.208
137,275.07,7.2,0,1,0,2.17,1,1,0,1,1,891.5502
138,260.89,8.28,0,1,1,0.85,1,1,1,1,1,1101.124
139,232.39,8.51,0,0,1,0.3,1,1,1,1,1,1264.791
140,246.57,8.84,0,1,1,0.42,1,1,1,1,1,1288.392
141,153.29,9.42,0,0,1,0.22,1,1,1,1,1,581.3104
142,217.24,9.5,0,0,1,0.18,1,1,1,1,1,1279.397
143,336.88,9.78,0,0,1,0.54,1,1,1,1,1,582.3265
144,191.86,11.95,0,0,1,0.18,1,1,1,1,1,1066.737
145,138.96,12.45,0,0,1,0.25,1,1,1,1,1,589.3617
146,312.86,12.48,0,0,1,0.63,1,1,1,1,1,610.8918
147,350.56,13.3,0,0,1,0.49,1,1,1,1,1,715.753
148,178.34,14.78,0,0,1,0.21,1,1,1,1,1,929.1376
149,49.58,14.93,0,0,0,1.46,1,1,0,1,1,1277.722
150,5.1,15.07,0,0,1,0.48,1,1,1,1,1,1016.425
151,34.75,15.31,0,0,1,0.74,1,1,1,1,1,1294.603
152,125.32,15.98,0,0,1,0.23,1,1,1,1,1,622.8717
153,20.03,16,0,0,1,0.39,1,1,1,1,1,1144.525
154,63.61,16.02,0,0,0,2.24,1,1,0,1,1,1355.989
155,77.77,16.61,0,0,0,2.41,1,1,0,1,1,1168.931
156,110.19,16.72,0,0,1,0.5,1,1,1,1,1,666.6016
157,94.18,16.76,0,0,0,3.94,1,1,0,1,1,926.9705
158,298.71,17.87,0,1,0,5.69,1,1,0,1,1,631.2373
159,163.95,18.4,0,0,1,0.16,1,1,1,1,1,637.0562
160,284.51,18.52,0,1,0,4.73,1,1,0,1,1,692.4632
161,325.82,18.62,0,0,1,0.61,1,1,1,1,1,604.9506
162,269.6,19.91,0,1,1,0.7,1,1,1,1,1,1024.69
163,225.35,19.98,0,1,1,0.26,1,1,1,1,1,1302.139
164,206.09,20.29,0,0,1,0.14,1,1,0,1,1,1299.825
165,254.53,20.9,0,1,1,0.44,1,1,0,1,1,1223.525
166,239.96,21.48,0,1,1,0.35,1,1,0,1,1,1400.191
167,148.3,22.57,0,0,1,0.19,1,1,0,1,1,623.5892
168,339.97,23.59,0,0,1,0.49,1,1,0,1,1,754.832
169,191.54,25.21,0,0,1,0.13,1,1,0,1,1,1151.525
170,311.62,25.67,0,1,0,1.57,1,1,0,1,1,650.1422
171,355.13,26.49,0,0,1,0.53,1,1,0,1,1,803.4666
172,41.71,27.09,0,0,0,1.02,1,1,0,1,1,1400.942
173,134.27,27.19,0,0,1,0.23,1,1,0,1,1,654.7362
174,10.63,27.64,0,0,1,0.35,1,1,0,1,1,1168.796
175,176.28,27.77,0,0,1,0.14,1,1,0,1,1,870.9661
176,85.94,27.86,0,0,0,4.33,1,1,0,1,1,1223.967
177,102.94,28.32,0,0,1,0.79,1,1,0,1,1,747.397
178,26.72,28.35,0,0,1,0.5,1,1,0,1,1,1392.303
179,56.05,28.55,0,0,0,1.88,1,1,0,1,1,1437.73
180,118.86,28.82,0,0,1,0.31,1,1,0,1,1,683.8538
181,70.73,29.45,0,0,0,3.79,1,1,0,1,1,1362.98
182,216.37,29.66,0,1,1,0.12,1,1,0,1,1,1451.821
183,280.37,31.07,1,1,1,0.73,0,1,0,0,1,770.0539
184,159.38,31.28,0,0,1,0.15,0,1,0,0,1,750.8669
185,295.87,31.36,1,1,0,6.19,0,1,0,0,1,711.4747
186,326.58,32.09,0,1,1,0.87,0,1,0,0,1,680.019
187,263.41,32.52,1,1,1,0.29,0,1,0,0,1,1281.705
188,231.66,33.85,1,1,1,0.15,0,1,0,0,1,1500.99
189,247.57,34.37,1,1,1,0.15,0,1,0,0,1,1546.908
190,202.7,35.41,0,1,1,0.08,0,1,0,0,1,1494.378
191,343.19,36.98,0,1,1,0.77,0,1,0,0,1,741.525
192,145.08,37.89,0,0,1,0.1,0,1,0,0,1,731.0908
193,310.4,38.62,1,1,0,9.09,0,1,0,0,1,736.075
194,92.99,39.36,0,0,0,1.73,0,1,0,0,1,1222.971
195,187.37,39.41,0,1,1,0.11,0,1,0,0,1,1304.947
196,0.51,39.76,0,0,1,0.6,0,1,0,0,1,944.4384
197,18.56,39.85,0,0,1,0.42,0,1,0,0,1,1409.344
198,39.25,39.94,0,0,1,0.6,0,1,0,0,1,1645.673
199,170.34,40.6,0,1,1,0.12,0,1,0,0,1,908.5339
200,128.38,41.14,0,0,1,0.25,0,1,0,0,1,765.4529
201,110.74,41.44,0,0,1,0.48,0,1,0,0,1,844.7605
202,57.29,41.99,0,0,0,2.57,0,1,0,0,1,1716.517
203,75.42,42.3,0,0,0,3.79,0,1,0,0,1,1545.478
204,274.26,43.3,1,1,1,0.33,0,1,0,0,1,1238.714
205,218.06,43.89,1,1,1,0.1,0,1,0,0,1,1754.365
206,292.01,45.25,1,1,1,0.94,0,1,0,0,1,887.3954
207,327.84,45.55,1,1,0,2.94,0,1,0,0,1,819.9707
208,256.15,46.91,1,1,1,0.15,0,1,0,0,1,1663.897
209,236.78,47.46,1,1,1,0.12,0,1,0,0,1,1884.906
210,156.3,48.79,0,1,1,0.08,0,1,0,0,1,870.6025
211,200.67,50.4,1,1,1,0.09,0,1,0,0,1,1788.513
212,28.81,50.89,0,0,0,1.26,0,1,0,0,1,1948.572
213,346.55,50.93,1,1,0,1.72,0,1,0,0,1,978.3522
214,309.04,51.83,1,1,0,6.21,0,1,0,0,1,925.6374
215,93.71,52.25,0,0,1,0.99,0,1,0,0,1,1498.184
216,7.56,53.1,0,1,0,1.66,0,1,0,0,1,1677.755
217,178.95,53.15,0,1,1,0.11,0,1,0,0,1,1041.599
218,137.54,53.63,0,1,1,0.18,0,1,0,0,1,967.0997
219,49.51,54.58,0,0,0,5.38,0,1,0,0,1,2142.937
220,115.68,54.9,0,1,1,0.39,0,1,0,0,1,1061.189
221,71.9,55.75,0,1,0,3.87,0,1,0,0,1,2104.983
222,274.53,56.65,1,1,1,0.3,0,1,0,0,1,1598.996
223,221.14,58.26,1,1,1,0.09,0,1,0,0,1,2377.391
224,248.25,60.4,1,1,1,0.14,0,1,0,0,1,2551.71
225,328.2,60.49,1,1,0,5.82,0,1,0,0,1,1165.031
226,160.54,62.91,0,1,1,0.13,0,1,0,0,1,1346.913
227,297.25,62.98,1,1,0,1.01,0,1,0,0,1,1326.644
228,194.02,64.51,1,1,1,0.11,0,1,0,0,1,2455.503
229,27.68,64.56,0,1,0,5.3,0,1,0,0,1,2860.652
230,355.38,65.78,1,1,0,6.29,0,1,0,0,1,1802.205
231,95.39,65.94,0,1,1,0.74,0,1,0,0,1,2058.568
232,130.24,67.86,0,1,1,0.4,0,1,0,0,1,1541.299
