Name,RA,Dec
LCS_1,54.18,-86.81
LCS_2,247.89,-79.28
LCS_3,321.46,-76.71
LCS_4,181.26,-76.36
LCS_5,124.72,-75.85
LCS_6,57.43,-72.92
LCS_7,13.35,-72.55
LCS_8,282.05,-68.25
LCS_9,92.19,-67.34
LCS_10,212.52,-66.69
LCS_11,246.08,-65.64
LCS_12,150.17,-64.6
LCS_13,346.19,-63.66
LCS_14,314.85,-63.24
LCS_15,180.55,-62.37
LCS_16,120.39,-61.01
LCS_17,42.47,-60.38
LCS_18,16.14,-58.95
LCS_19,69.14,-58.34
LCS_20,267.71,-55.5
LCS_21,291.12,-54.8
LCS_22,95.26,-54.27
LCS_23,224.66,-53.96
LCS_24,201.98,-53.31
LCS_25,245.89,-51.95
LCS_26,160.17,-51.85
LCS_27,333.63,-51.81
LCS_28,137.43,-51.31
LCS_29,356.47,-50.67
LCS_30,312.01,-49.81
LCS_31,181.26,-48.75
LCS_32,115.76,-47.5
LCS_33,36.62,-47.48
LCS_34,56.79,-47.09
LCS_35,17.12,-45.65
LCS_36,77.6,-45.47
LCS_37,274.37,-42.82
LCS_38,216.73,-41.57
LCS_39,97.25,-41.43
LCS_40,292.69,-41.38
LCS_41,255.94,-41.04
LCS_42,235.79,-40.3
LCS_43,148.3,-39.91
LCS_44,198.56,-39.85
LCS_45,343.33,-39.48
LCS_46,325.99,-38.64
LCS_47,166.43,-38.41
LCS_48,130.49,-37.96
LCS_49,0.83,-37.32
LCS_50,309.09,-36.74
LCS_51,182.28,-35.26
LCS_52,49.26,-34.78
LCS_53,32.82,-34.47
LCS_54,66.13,-34.38
LCS_55,114.03,-33.98
LCS_56,16.71,-32.46
LCS_57,82.8,-32.37
LCS_58,282.62,-30.12
LCS_59,267.02,-29.61
LCS_60,222.62,-29.01
LCS_61,98.87,-28.6
LCS_62,251.54,-28.5
LCS_63,207.23,-28.33
LCS_64,157.25,-27.91
LCS_65,237.12,-27.09
LCS_66,298.6,-27.08
LCS_67,141.58,-26.82
LCS_68,347.64,-26.67
LCS_69,332.02,-26.22
LCS_70,191.95,-25.36
LCS_71,316.73,-25.21
LCS_72,127.05,-24.12
LCS_73,174.65,-23.74
LCS_74,1.84,-23.61
LCS_75,57.84,-22.09
LCS_76,43.34,-21.94
LCS_77,29.1,-21.2
LCS_78,72.31,-21.14
LCS_79,113.32,-20.3
LCS_80,15.1,-19.33
LCS_81,86.41,-18.89
LCS_82,288.58,-17.51
LCS_83,274.01,-17.31
LCS_84,216.31,-16.49
LCS_85,259.66,-16.44
LCS_86,162.94,-16.2
LCS_87,306.53,-15.84
LCS_88,100.19,-15.57
LCS_89,245.31,-15.24
LCS_90,201.45,-15.16
LCS_91,339.97,-14.98
LCS_92,230.29,-14.95
LCS_93,148.78,-14.8
LCS_94,323.67,-13.63
LCS_95,185.47,-13.55
LCS_96,135.26,-12.54
LCS_97,353.76,-12.23
LCS_98,50.48,-9.48
LCS_99,122.09,-9.38
LCS_100,64.57,-9.16
LCS_101,36.3,-9.02
LCS_102,7.1,-8.51
LCS_103,172.99,-7.94
LCS_104,22.16,-7.77
LCS_105,78.55,-7.49
LCS_106,296.33,-6.95
LCS_107,108.86,-5.56
LCS_108,281.41,-5.35
LCS_109,92.59,-4.91
LCS_110,313.37,-4.55
LCS_111,267.2,-4.51
LCS_112,210.49,-4.35
LCS_113,332.99,-4
LCS_114,157.78,-3.53
LCS_115,253.15,-3.5
LCS_116,238.72,-3.33
LCS_117,195.09,-3.28
LCS_118,224.04,-2.82
LCS_119,143.89,-1.19
LCS_120,346.32,-0.76
LCS_121,182.47,1.41
LCS_122,130.43,1.67
LCS_123,359.46,2.4
LCS_124,42.9,2.89
LCS_125,57.14,2.91
LCS_126,28.55,3.75
LCS_127,13.95,3.78
LCS_128,71,3.86
LCS_129,302.97,4.19
LCS_130,323.26,4.29
LCS_131,117.08,4.92
LCS_132,168.07,5.17
LCS_133,101.51,5.68
LCS_134,85.41,5.79
LCS_135,289.33,5.87
LCS_136,204.03,7.12
LCS_137,275.07,7.2
LCS_138,260.89,8.28
LCS_139,232.39,8.51
LCS_140,246.57,8.84
LCS_141,153.29,9.42
LCS_142,217.24,9.5
LCS_143,336.88,9.78
LCS_144,191.86,11.95
LCS_145,138.96,12.45
LCS_146,312.86,12.48
LCS_147,350.56,13.3
LCS_148,178.34,14.78
LCS_149,49.58,14.93
LCS_150,5.1,15.07
LCS_151,34.75,15.31
LCS_152,125.32,15.98
LCS_153,20.03,16
LCS_154,63.61,16.02
LCS_155,77.77,16.61
LCS_156,110.19,16.72
LCS_157,94.18,16.76
LCS_158,298.71,17.87
LCS_159,163.95,18.4
LCS_160,284.51,18.52
LCS_161,325.82,18.62
LCS_162,269.6,19.91
LCS_163,225.35,19.98
LCS_164,206.09,20.29
LCS_165,254.53,20.9
LCS_166,239.96,21.48
LCS_167,148.3,22.57
LCS_168,339.97,23.59
LCS_169,191.54,25.21
LCS_170,311.62,25.67
LCS_171,355.13,26.49
LCS_172,41.71,27.09
LCS_173,134.27,27.19
LCS_174,10.63,27.64
LCS_175,176.28,27.77
LCS_176,85.94,27.86
LCS_177,102.94,28.32
LCS_178,26.72,28.35
LCS_179,56.05,28.55
LCS_180,118.86,28.82
LCS_181,70.73,29.45
LCS_182,216.37,29.66
LCS_183,280.37,31.07
LCS_184,159.38,31.28
