category,field_id,cadence,start_day,end_day,window_index,group_id,cadence_ind,notes
A,8,daily,91,135,3,1,1,
A,11,daily,226,270,6,3,1,
A,21,daily,226,270,6,1,1,
A,27,daily,271,315,7,4,1,
A,29,daily,271,315,7,2,1,
A,30,daily,271,315,7,1,1,
A,31,daily,181,225,5,4,1,
A,45,daily,271,315,7,3,1,
A,47,daily,1,45,1,4,1,
A,49,daily,316,360,8,1,1,
A,53,daily,181,225,5,5,1,
A,56,daily,316,360,8,2,1,
A,61,daily,316,360,8,4,1,
A,67,daily,316,360,8,3,1,
A,72,daily,91,135,3,2,1,
A,75,daily,226,270,6,4,1,
A,76,daily,181,225,5,6,1,
A,77,daily,181,225,5,2,1,
A,78,daily,226,270,6,5,1,
A,81,daily,271,315,7,5,1,
A,138,daily,46,90,2,3,1,
A,140,daily,46,90,2,2,1,
A,163,daily,181,225,5,3,1,
A,164,daily,136,180,4,4,1,
A,165,daily,226,270,6,2,1,
A,166,daily,46,90,2,4,1,
A,169,daily,136,180,4,1,1,
A,182,daily,136,180,4,5,1,
A,186,daily,136,180,4,6,1,
A,187,daily,226,270,6,6,1,
A,188,daily,1,45,1,2,1,
A,190,daily,136,180,4,3,1,
A,191,daily,181,225,5,1,1,
A,195,daily,136,180,4,2,1,
A,199,daily,91,135,3,4,1,
A,205,daily,1,45,1,5,1,
A,209,daily,1,45,1,3,1,
A,210,daily,91,135,3,5,1,
A,211,daily,1,45,1,6,1,
A,217,daily,91,135,3,3,1,
A,218,daily,91,135,3,6,1,
A,220,daily,46,90,2,1,1,
A,226,daily,46,90,2,5,1,
A,228,daily,1,45,1,1,1,
A,231,daily,271,315,7,6,1,
A,232,daily,46,90,2,6,1,
A,237,daily,316,360,8,5,1,
A,239,daily,316,360,8,6,1,
B,1,daily,136,180,4,104,1,B_45
B,1,sparse4,226,270,6,206,1,B_90
B,1,sparse4,271,315,7,207,1,B_90
B,6,daily,1,45,1,101,1,B_45
B,6,sparse4,136,180,4,204,1,B_90
B,6,sparse4,316,360,8,208,1,B_90
B,7,daily,91,135,3,103,1,B_45
B,7,sparse4,226,270,6,206,2,B_90
B,7,sparse4,316,360,8,208,2,B_90
B,9,sparse4,136,180,4,204,2,B_90
B,9,daily,181,225,5,105,1,B_45
B,9,sparse4,316,360,8,208,3,B_90
B,17,sparse4,226,270,6,206,3,B_90
B,17,sparse4,271,315,7,207,2,B_90
B,17,daily,316,360,8,108,1,B_45
B,19,daily,1,45,1,101,1,B_45
B,19,sparse4,136,180,4,204,3,B_90
B,19,sparse4,226,270,6,206,4,B_90
B,22,daily,46,90,2,102,1,B_45
B,22,sparse4,136,180,4,204,4,B_90
B,22,sparse4,181,225,5,205,1,B_90
B,34,sparse4,181,225,5,205,2,B_90
B,34,daily,226,270,6,106,1,B_45
B,34,sparse4,316,360,8,208,4,B_90
B,204,sparse4,181,225,5,205,3,B_90
B,204,sparse4,226,270,6,206,5,B_90
B,204,daily,271,315,7,107,1,B_45
B,206,sparse4,136,180,4,204,5,B_90
B,206,sparse4,226,270,6,206,6,B_90
B,206,daily,271,315,7,107,1,B_45
B,208,daily,46,90,2,102,1,B_45
B,208,sparse4,136,180,4,204,6,B_90
B,208,sparse4,226,270,6,206,7,B_90
B,222,sparse4,136,180,4,204,7,B_90
B,222,daily,181,225,5,105,1,B_45
B,222,sparse4,226,270,6,206,8,B_90
B,224,daily,1,45,1,101,1,B_45
B,224,sparse4,271,315,7,207,3,B_90
B,224,sparse4,316,360,8,208,5,B_90
B,234,daily,46,90,2,102,1,B_45
B,234,sparse4,136,180,4,204,8,B_90
B,234,sparse4,316,360,8,208,6,B_90
B,235,daily,1,45,1,101,1,B_45
B,235,sparse4,271,315,7,207,4,B_90
B,235,sparse4,316,360,8,208,7,B_90
B,240,daily,1,45,1,101,1,B_45
B,240,sparse4,181,225,5,205,4,B_90
B,240,sparse4,316,360,8,208,8,B_90
C,2,sparse4,91,225,1,11,1,
C,3,sparse4,91,225,1,11,2,
C,13,sparse4,91,225,1,11,3,
C,14,sparse4,91,225,1,11,4,
C,18,sparse4,226,360,2,12,1,
C,33,sparse4,226,360,2,12,2,
C,35,sparse4,226,360,2,12,3,
C,36,sparse4,226,360,2,12,4,
C,39,sparse4,226,360,2,12,5,
C,52,sparse4,226,360,2,12,6,
C,54,sparse4,226,360,2,12,7,
C,57,sparse4,226,360,2,12,8,
C,162,sparse4,91,225,1,11,5,
C,183,sparse4,91,225,1,11,6,
C,189,sparse4,91,225,1,11,7,
C,223,sparse4,91,225,1,11,8,
D,79,daily,91,135,3,,1,
D,12,daily,46,90,2,,1,
D,48,daily,46,90,2,,1,
D,28,daily,91,135,3,,1,
