Field Name,Description,Data Type,Comments,Metadata
[common_image_fields],,,,
RA_Center*,,double,,index_method: btree
Dec_Center*,,double,,
ImageType,"[sci,flat,bias,dark,test]",Int8 (Enumeration),,
HTM_ID*,,,,
Quadrant,¼ quadrants,int8,,
ExpTime,,single,,
JD*,JD of start of Exposure,double,,
FYear*,UTC year (start),int16,,
FMonth*,UTC month (start),int8,,
FDay*,UTC day (start),int8,,
Version*,,int8,,
JD_Insertion,JD of insertion to DB,double,,
Median,,single,,
Mean,,single,,
FStD,,single,,
RollAngle,[deg],single,,
SunDist,[deg],single,,
EarthDist,[deg],single,,
MoonDist,[deg],single,,
